date,time,message,type
2027-01-07,08:23,New Moon in Capricorn - Beginning of structure cycle,lunar
2027-01-15,20:15,Venus enters Pisces - Relational energy dissolves boundaries,planetary
2027-01-23,12:54,Full Moon in Leo - Culmination of creativity and authenticity,lunar
2027-02-05,19:32,New Moon in Aquarius - Beginning of innovation cycle,lunar
2027-02-13,09:45,Venus enters Aries - Direct relational energy,planetary
2027-02-22,08:20,Full Moon in Virgo - Culmination of refinement,lunar
2027-03-08,14:30,Saturn square Uranus - Tension between structure and change,planetary
2027-03-15,18:12,New Moon in Pisces - Beginning of dissolution cycle,lunar
2027-03-20,14:46,Spring Equinox - Sun enters Aries,planetary
2027-03-24,06:45,Full Moon in Libra - Culmination of balance,lunar
2027-04-13,10:23,New Moon in Aries - Beginning of action cycle,lunar
2027-04-20,09:12,Sun enters Taurus - Solar energy seeks stability,planetary
2027-04-22,19:34,Full Moon in Scorpio - Culmination of transformation,lunar
2027-05-12,15:45,New Moon in Taurus - Beginning of building cycle,lunar
2027-05-21,08:56,Sun enters Gemini - Solar energy seeks communication,planetary
2027-05-22,11:28,Full Moon in Sagittarius - Culmination of meaning search,lunar
2027-06-10,07:42,New Moon in Gemini - Beginning of curiosity cycle,lunar
2027-06-21,10:30,Summer Solstice - Sun enters Cancer,planetary
2027-06-21,02:15,Full Moon in Capricorn - Culmination of structure,lunar
2027-07-09,18:33,New Moon in Cancer - Beginning of nurturing cycle,lunar
2027-07-20,14:56,Full Moon in Aquarius - Culmination of innovation,lunar
2027-07-22,22:15,Sun enters Leo - Solar energy seeks creativity,planetary
2027-08-08,07:23,New Moon in Leo - Beginning of authenticity cycle,lunar
2027-08-19,08:45,Full Moon in Pisces - Spiritual revelation,lunar
2027-08-23,04:18,Sun enters Virgo - Solar energy seeks refinement,planetary
2027-09-06,18:52,New Moon in Virgo - Beginning of perfection cycle,lunar
2027-09-17,22:34,Full Moon in Aries - Culmination of initiative,lunar
2027-09-22,20:01,Autumn Equinox - Sun enters Libra,planetary
2027-10-06,11:47,New Moon in Libra - Beginning of harmony cycle,lunar
2027-10-17,15:26,Full Moon in Taurus - Tangible harvest,lunar
2027-10-23,06:42,Sun enters Scorpio - Solar energy seeks depth,planetary
2027-11-05,08:19,New Moon in Scorpio - Beginning of rebirth cycle,lunar
2027-11-16,13:28,Full Moon in Gemini - Culmination of communication,lunar
2027-11-22,03:35,Sun enters Sagittarius - Solar energy seeks expansion,planetary
2027-12-04,23:51,New Moon in Sagittarius - Beginning of truth search,lunar
2027-12-16,04:17,Full Moon in Cancer - Culmination of nurturing,lunar
2027-12-21,16:20,Winter Solstice - Sun enters Capricorn,planetary
